user_id,pickup_datetime,pickup_latitude,pickup_longitude,nearest_poi
196,2013-06-08 10:05:00,40.774035,-73.977437,3011
197,2013-06-08 10:40:00,40.768782,-73.952225,4857
198,2013-06-08 18:09:00,40.766895,-73.953642,987
199,2013-06-08 15:41:00,40.761475,-73.966522,957
200,2013-06-08 13:15:00,40.735187,-73.99726,2760
201,2013-06-08 09:02:00,40.80301,-73.951935,1760
202,2013-06-08 01:41:00,40.71425,-74.000092,4612
203,2013-06-08 02:59:00,40.751082,-73.940742,3989
204,2013-06-08 13:15:00,40.756242,-73.969892,2838
205,2013-06-08 12:00:00,40.772065,-73.947258,3260
206,2013-06-08 12:33:00,40.746175,-73.974788,3647
207,2013-06-08 12:16:00,40.72967,-73.983878,2833
208,2013-06-08 12:16:00,40.780127,-73.956967,3367
209,2013-06-08 13:59:00,40.750197,-73.987422,3750
210,2013-06-08 12:48:00,0,0,5907
211,2013-06-08 10:48:00,40.762997,-73.959492,2981
212,2013-06-08 14:38:00,40.709662,-74.01196,4632
213,2013-06-08 12:31:00,40.740717,-73.978083,2907
214,2013-06-08 12:05:00,40.739452,-73.984562,4846
215,2013-06-08 01:25:00,40.741485,-74.006335,270
216,2013-06-08 13:26:00,40.757347,-73.989832,2967
217,2013-06-08 16:00:00,40.742462,-73.98064,3575
218,2013-06-08 13:28:00,40.76455,-73.984847,298
219,2013-06-08 12:50:00,40.759665,-73.962428,4853
220,2013-06-08 11:32:00,40.756857,-73.989777,2967
221,2013-06-08 02:30:00,40.757462,-73.983757,6353
222,2013-06-08 11:12:00,40.72088,-74.005238,2722
223,2013-06-08 10:19:00,40.750027,-73.971777,3571
224,2013-06-08 09:20:00,40.774237,-73.948497,1364
225,2013-06-08 12:07:00,40.780797,-73.958917,6074
226,2013-06-08 04:12:00,40.720047,-74.004387,6060
227,2013-06-08 09:19:00,40.730497,-74.009617,3869
228,2013-06-08 15:36:00,40.701947,-74.012757,2137
229,2013-06-08 14:45:00,40.754027,-73.972275,3239
230,2013-06-08 09:57:00,40.755115,-73.971032,2151
231,2013-06-08 10:53:00,40.784842,-73.979072,6297
232,2013-06-08 12:53:00,40.736055,-73.979912,2307
233,2013-06-08 15:12:00,40.714917,-74.016167,4261
234,2013-06-08 02:29:00,40.750417,-73.998602,949
235,2013-06-08 11:21:00,40.768685,-73.958152,3000
236,2013-06-08 13:53:00,40.732095,-73.99585,4631
237,2013-06-08 14:19:00,40.756417,-73.989825,6394
238,2013-06-08 04:15:00,40.741722,-73.97809,6290
239,2013-06-08 11:54:00,40.779245,-73.94714,2870
240,2013-06-08 17:34:00,40.784162,-73.954297,1880
241,2013-06-08 12:05:00,40.752832,-73.994612,2098
242,2013-06-08 16:41:00,40.725282,-73.996685,280
243,2013-06-08 13:33:00,40.778672,-73.960392,2101
244,2013-06-08 10:16:00,40.794727,-73.97178,2
245,2013-06-08 14:59:00,40.750897,-73.990485,526
246,2013-06-08 03:35:00,40.725937,-73.991945,941
247,2013-06-08 11:51:00,40.759252,-73.995667,6033
248,2013-06-08 12:56:00,40.729857,-74.002072,2241
249,2013-06-08 02:31:00,40.721137,-73.99761,6286
250,2013-06-08 17:44:00,40.782952,-73.952972,5611
251,2013-06-08 13:45:00,40.769322,-73.961765,2858
252,2013-06-08 14:44:00,40.764662,-73.97044,4335
253,2013-06-08 12:03:00,40.696147,-73.984333,6115
254,2013-06-08 11:33:00,40.76895,-73.862842,6340
255,2013-06-08 09:42:00,40.745442,-74.002222,3662
256,2013-06-08 10:08:00,40.739355,-73.986895,460
257,2013-06-08 14:14:00,40.749577,-73.987877,5619
258,2013-06-08 15:50:00,40.780802,-73.960857,2101
259,2013-06-08 11:34:00,40.764942,-73.963905,3396
260,2013-06-08 11:07:00,40.769542,-73.98369,4341
261,2013-06-08 03:50:00,40.740192,-74.005802,3453
262,2013-06-08 18:14:00,40.73043,-73.998412,1926
263,2013-06-08 17:13:00,40.724687,-73.99918,3405
264,2013-06-08 12:56:00,40.760042,-73.986175,6210
265,2013-06-08 14:30:00,40.68947,-73.994757,2436
266,2013-06-08 15:04:00,40.763472,-73.971465,4586
267,2013-06-08 15:12:00,40.777932,-73.961725,733
268,2013-06-08 17:09:00,40.647897,-73.785832,3661
269,2013-06-08 12:34:00,40.748857,-73.9888,4235
270,2013-06-08 13:02:00,40.779617,-73.981075,5563
271,2013-06-08 12:33:00,40.777452,-73.950635,5983
272,2013-06-08 03:29:00,40.779752,-73.947345,2870
273,2013-06-08 13:54:00,40.779582,-73.950552,5293
274,2013-06-08 09:03:00,40.739247,-73.981635,3808
275,2013-06-08 11:39:00,40.792245,-73.968197,2236
276,2013-06-08 17:39:00,40.762357,-73.966015,6185
277,2013-06-08 12:33:00,40.745775,-73.98174,2149
278,2013-06-08 14:44:00,40.771157,-73.983255,2947
279,2013-06-08 04:46:00,40.798777,-73.936457,4305
280,2013-06-08 12:11:00,40.781155,-73.979863,6268
281,2013-06-08 14:19:00,40.75002,-74.002527,3919
282,2013-06-08 16:12:00,40.747862,-74.004027,3973
283,2013-06-08 11:46:00,40.739545,-73.982595,289
284,2013-06-08 11:36:00,40.72807,-73.988057,6054
285,2013-06-08 03:29:00,40.808127,-73.945295,1561
286,2013-06-08 14:01:00,40.756277,-73.970363,2838
287,2013-06-08 01:54:00,40.774332,-73.948322,1364
288,2013-06-08 13:41:00,40.779605,-73.945913,4992
289,2013-06-08 12:00:00,40.748227,-73.98026,3795
290,2013-06-08 14:59:00,40.718417,-74.005202,6321
291,2013-06-08 10:16:00,40.744245,-73.985625,3632
292,2013-06-08 01:50:00,40.740077,-74.005952,2767
293,2013-06-08 17:22:00,40.762212,-73.974927,4325
294,2013-06-08 15:32:00,40.722857,-73.988025,4237
295,2013-06-08 17:15:00,40.77735,-73.989572,3012
296,2013-06-08 17:35:00,40.777677,-73.94871,2855
297,2013-06-08 08:48:00,40.743847,-73.92811,2318
298,2013-06-08 14:10:00,40.782185,-73.982687,3016
